date;2772803;2772804;2772805;2772806;2772807;2772808;2772809;2772810;2772811;2772812;2772813;2772814;2772815;2772816;2772817;2772818;2772819;2772820;2772821;2772822;2772859;2772860;2772861;2772862;2772863;2772864;2772865;2772866;2772867;2772868;2772869;2772870;2772871;2772872;2772873;2772874;2772875;2772876;2772877;2772878;2772879;2772914;2772915;2772916;2772917;2772918;2772919;2772920;2772921;2772922;2772923;2772924;2772925;2772926;2772927;2772928;2772929;2772930;2772931;2772932;2772933;2772934;2772980;2772981;2772982
22/05/2020;1.0;1.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;13;3;8;8.0;1.0;2.0;1.0;39;17;3;3;1;3;1;1.0;1.0;2.0;9.0;1.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;5;3;3;1;12;1;3;6;2.0;1.0;1.0;2.0;2.0;2.0;2.0;3;3;5.0;2.0
26/05/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;2;7;7.0;0.0;5.0;0.0;4;9;3;3;1;3;1;0.0;1.0;1.0;11.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;7;1;3;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;3;3;3.0;0.0
27/05/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;8;3;8;8.0;0.0;5.0;0.0;6;15;3;3;1;3;1;0.0;0.0;0.0;8.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;11;1;3;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;2.0;0.0
28/05/2020;1.0;1.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;4;4;6;6.0;0.0;5.0;1.0;9;25;3;3;1;3;1;0.0;0.0;0.0;7.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;5;3;3;1;5;1;3;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;4.0;0.0
03/06/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;3;8;8.0;0.0;10.0;0.0;3;3;3;3;1;3;1;0.0;1.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3;3;3;3;5;3;3;1;8;1;3;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;0.0;0.0
04/06/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;4;8;8.0;1.0;4.0;0.0;24;13;3;3;1;3;1;1.0;1.0;1.0;17.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;2;1;3;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;11.0;1.0
05/06/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;23;2;7;7.0;0.0;4.0;1.0;6;14;3;3;1;3;1;0.0;1.0;1.0;5.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;14;1;3;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;3.0;0.0
08/06/2020;1.0;1.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;11;2;7;7.0;0.0;5.0;0.0;8;3;3;3;1;3;1;1.0;1.0;1.0;5.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;6;1;3;23;1.0;0.0;0.0;1.0;1.0;1.0;1.0;3;3;1.0;1.0
09/06/2020;1.0;1.0;1.0;0.0;2.0;2.0;2.0;0.0;0.0;4;3;6;6.0;0.0;4.0;1.0;34;8;3;3;1;3;1;1.0;1.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;9;1;3;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;6.0;0.0
10/06/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;23;4;8;2.0;1.0;10.0;0.0;4;8;3;3;1;3;1;1.0;0.0;0.0;2.0;1.0;1.0;2.0;3.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;5;3;3;1;12;1;3;1;1.0;1.0;1.0;1.0;2.0;1.0;1.0;3;3;2.0;1.0
15/06/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;8;3;8;8.0;0.0;7.0;1.0;3;2;3;3;1;3;1;1.0;1.0;1.0;8.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;9;1;3;23;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;4.0;1.0
16/06/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;4;8;0.0;0.0;8.0;0.0;8;7;3;3;1;3;1;0.0;1.0;1.0;8.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;5;3;3;1;14;1;3;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;5.0;0.0
17/06/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;1;8;3.0;0.0;8.0;1.0;34;12;3;3;1;3;1;0.0;0.0;0.0;12.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;5;3;3;1;8;1;3;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;7.0;0.0
18/06/2020;1.0;1.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;4;4;7;7.0;0.0;4.0;1.0;11;3;3;3;1;3;1;0.0;1.0;1.0;10.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3;3;3;3;4;3;3;1;9;1;3;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;1.0;0.0
19/06/2020;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;4;8;8.0;1.0;7.0;1.0;8;20;3;3;1;3;1;1.0;1.0;1.0;13.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;12;1;3;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3.0;1.0
22/06/2020;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;19;3;6;3.0;0.0;8.0;0.0;13;17;3;3;1;3;1;0.0;1.0;1.0;8.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;3;1;3;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;4.0;0.0
23/06/2020;1.0;1.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;23;1;8;4.0;0.0;5.0;0.0;9;15;3;3;1;3;1;0.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3;3;3;3;1;3;3;1;4;1;3;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3;6.0;0.0
